 Cloud_ciptc     , 123.103.123.32  ,80, hbuas.ciptc.org.cn                       ,50,0
 Cloud_ciptc     , 123.103.123.32  ,80, wenhua.ciptc.org.cn                      ,50,0
 Cloud_ciptc     , 123.103.123.32  ,80, ujs.ciptc.org.cn                         ,54,0
 Cloud_ciptc     , 123.103.123.27  ,80, 183.196.170.247                          ,54,0
 xingdong02      , 220.243.147.166 ,80, cdn.ld1.xingdongjingwei.top              ,56,0
 xingdong02      , 220.243.147.166 ,80, file.morotele.com                        ,58,0
 Cloud_Aspire    , 220.243.178.198 ,80, 220.243.178.198                          ,58,0
 xisaedu         , 220.243.178.24  ,80, ybmsisa.cn                               ,58,0
 ywjx            , 123.103.123.92  ,80, ad.ewfresh.com                           ,62,0
 Cloud_Aspire    , 220.243.178.198 ,80, musicdj.i139.cn                          ,64,0
 hanzhongnews    , 220.243.178.82  ,80, tj.hanzhongnews.cn                       ,66,0
 Cloud_ciptc     , 123.103.123.32  ,80, wuhan.ciptc.org.cn                       ,67,0
 Cloud_Aspire    , 220.243.178.11  ,80, musicdj.i139.cn                          ,67,0
 xingdong02      , 220.243.147.166 ,80, auth.cdn.xdagent.top                     ,69,0
 Cloud_ciptc     , 123.103.123.32  ,80, njust.ciptc.org.cn                       ,69,0
 bjczxd          , 220.243.137.50  ,80, www.bjczxd.com                           ,71,0
 xingdong02      , 220.243.147.166 ,80, chuanqi.xdagent.top                      ,71,0
 Cloud_ciptc     , 123.103.123.32  ,80, zhangzhou.ciptc.org.cn                   ,71,0
                 , 123.103.123.10  ,8081, bj01.wangsucloud.com                     ,72,0
 xingdong02      , 220.243.147.166 ,80, cdn.wx.hongzhong88.top                   ,75,0
 Cloud_ciptc     , 123.103.123.32  ,80, jiangsu.ciptc.org.cn                     ,86,0
 unitedview      , 220.243.133.77  ,8500, ipub.unitedview.cn                       ,89,0
 Cloud_ciptc     , 123.103.123.32  ,80, usc.ciptc.org.cn                         ,91,0
 juhaokan        , 220.243.178.87  ,80, vidaa.com                                ,92,0
 Cloud_Aspire    , 220.243.178.193 ,80, i.xinyuncha.com                          ,94,0
 Cloud_ciptc     , 123.103.123.76  ,80, da2011.ciptc.org.cn                      ,100,0
 juhaokan        , 123.103.51.30   ,80, 123.103.51.30                            ,101,0
 Cloud_ciptc     , 123.103.123.32  ,80, qingdao.ciptc.org.cn                     ,102,0
 Cloud_ciptc     , 123.103.123.32  ,80, puyang.ciptc.org.cn                      ,107,0
 zgjj            , 220.243.178.72  ,80, 2012.caiqtest.com                        ,111,0
 xingdong02      , 220.243.147.166 ,80, cdn.cdt.xingdong.co                      ,117,0
 tsb             , 123.103.51.31   ,9090, 123.103.51.31                            ,128,0
 Cloud_ciptc     , 123.103.123.32  ,80, sut.ciptc.org.cn                         ,135,0
 xingdong02      , 220.243.147.166 ,80, main.cdn.cdxianhe.cn                     ,140,0
 Cloud_ciptc     , 123.103.123.32  ,80, hit.ciptc.org.cn                         ,144,0
 Cloud_ciptc     , 123.103.123.32  ,80, academy.ciptc.org.cn                     ,145,0
 xingdong02      , 220.243.147.166 ,80, ld6.cdn.dq52mj.com                       ,148,0
 bjczxd          , 220.243.137.50  ,80, wx.bjczxda.com                           ,159,0
 Cloud_ciptc     , 123.103.123.32  ,80, haust.ciptc.org.cn                       ,164,0
 hanzhongnews    , 220.243.178.83  ,80, m.hanzhongnews.cn                        ,177,0
 xingdong02      , 220.243.147.166 ,80, ld4.cdn.52majiang.cn                     ,179,0
 ywjx            , 123.103.123.92  ,80, www.ewfresh.com                          ,179,0
 Paas_test       , 220.243.137.5   ,8080, www.kialitest.com                        ,181,0
 zgjj            , 220.243.178.72  ,80, www.cntestlab.com                        ,186,0
 hanzhongnews    , 220.243.178.82  ,80, res.hanzhongnews.cn                      ,190,0
 zhgb            , 123.103.51.24   ,8888, 123.103.51.24                            ,193,0
 Cloud_ciptc     , 123.103.123.32  ,80, yaan.ciptc.org.cn                        ,198,0
 Cloud_ciptc     , 123.103.123.37  ,80, 123.103.123.37                           ,200,0
 Cloud_ciptc     , 123.103.123.32  ,80, zibo.ciptc.org.cn                        ,204,0
 hlcb            , 220.243.178.51  ,80, zhuanti.tcsasac.com                      ,208,0
 Cloud_ciptc     , 123.103.123.36  ,80, 123.103.123.36                           ,209,0
 xingdong02      , 220.243.147.166 ,80, ld5.cdn.daqingmajiang.cn                 ,209,0
 Cloud_ciptc     , 123.103.123.32  ,80, sjzc.ciptc.org.cn                        ,210,0
 Cloud_ciptc     , 123.103.123.32  ,80, xiamen.ciptc.org.cn                      ,216,0
 xisaedu         , 220.243.178.24  ,80, farm.ybmsisa.cn                          ,235,0
 Cloud_ciptc     , 123.103.123.32  ,80, hunaned.ciptc.org.cn                     ,238,0
 juhaokan        , 220.243.178.87  ,80, www.vidaa.com                            ,249,0
 Cloud_ciptc     , 123.103.123.32  ,80, neimeng.ciptc.org.cn                     ,265,0
 zhgb            , 123.103.51.24   ,89, 123.103.51.24                            ,271,0
 Cloud_ciptc     , 123.103.123.32  ,80, yibin.ciptc.org.cn                       ,333,0
 hlcb            , 220.243.178.51  ,80, statics.tcsasac.com                      ,334,0
 Cloud_ciptc     , 123.103.123.32  ,80, dlut.ciptc.org.cn                        ,335,0
 zhgb            , 123.103.51.24   ,8080, 123.103.51.24                            ,349,0
 juhaokan        , 220.243.178.33  ,80, download.fans.hismarttv.com              ,365,0
 ywjx            , 220.243.178.190 ,8080, 220.243.178.190                          ,390,0
 hlcb            , 220.243.178.51  ,80, admin.tcsasac.com                        ,409,0
 Cloud_ciptc     , 123.103.123.32  ,80, nanhai.ciptc.org.cn                      ,410,0
 ztwf            , 123.103.51.80   ,80, zgsf.com.cn                              ,466,0
 Cloud_ciptc     , 123.103.123.32  ,80, fujian.ciptc.org.cn                      ,490,0
 Cloud_ciptc     , 123.103.123.33  ,80, 123.103.123.33                           ,510,0
 Cloud_ciptc     , 123.103.123.32  ,80, wipo-academy.ciptc.org.cn                ,522,0
 Cloud_ciptc     , 123.103.123.27  ,80, 123.103.123.27                           ,555,0
 cloudsec        , 123.103.51.92   ,13580, 123.103.51.92                            ,562,0
 Cloud_ciptc     , 123.103.123.72  ,80, 123.103.123.72                           ,570,0
 xingdong02      , 220.243.147.166 ,80, cdn.xdgame.top                           ,571,0
 Cloud_ciptc     , 123.103.123.74  ,80, 123.103.123.74                           ,576,0
 Cloud_ciptc     , 123.103.123.32  ,80, fuzhou.ciptc.org.cn                      ,579,0
 Cloud_ciptc     , 123.103.123.76  ,80, pv.ciptc.org.cn                          ,592,0
 hlcb            , 220.243.178.51  ,80, www.china-crc.com.cn                     ,636,0
 Cloud_ciptc     , 123.103.123.55  ,80, 123.103.123.55                           ,656,0
 Cloud_ciptc     , 123.103.123.72  ,80, training.ciptc.org.cn                    ,694,0
 Cloud_ciptc     , 123.103.123.32  ,80, anhui.ciptc.org.cn                       ,694,0
 ztxxkj          , 220.243.178.58  ,80, kong.chinaqking.com                      ,700,0
 cloudsec        , 220.243.133.66  ,8090, 220.243.133.66                           ,774,0
 Cloud_Aspire    , 220.243.178.198 ,80, i.xinyuncha.com                          ,797,0
 Cloud_ciptc     , 123.103.123.32  ,80, lnu.ciptc.org.cn                         ,871,0
 wh_tydq         , 220.243.178.134 ,86, 220.243.178.134                          ,1153,0
 Cloud_ciptc     , 123.103.123.32  ,80, zhengzhou.ciptc.org.cn                   ,1210,0
 Cloud_Aspire    , 220.243.178.198 ,80, football.i139.cn                         ,1340,0
 Cloud_ciptc     , 123.103.123.32  ,80, hdu.ciptc.org.cn                         ,1413,0
 Cloud_ciptc     , 123.103.123.32  ,80, shandong.ciptc.org.cn                    ,1452,0
 Cloud_ciptc     , 123.103.123.32  ,80, csu.ciptc.org.cn                         ,1491,0
 ztwf            , 123.103.51.80   ,80, www.zgsf.com.cn                          ,1689,0
 shengmu         , 220.243.133.71  ,80, wechatcrm-cs.maje.cn                     ,1780,0
 Cloud_ciptc     , 123.103.123.32  ,80, nefu.ciptc.org.cn                        ,1807,0
 Cloud_ciptc     , 123.103.123.32  ,80, hefei.ciptc.org.cn                       ,1853,0
 hanzhongnews    , 220.243.178.83  ,80, site.hanzhongnews.cn                     ,1868,0
 Cloud_ciptc     , 123.103.123.31  ,80, home.ciptc.com.cn                        ,2116,0
 Cloud_ciptc     , 123.103.123.32  ,80, henan.ciptc.org.cn                       ,2226,0
 aiensi          , 220.243.178.151 ,80, www.thomsonlinear.com.cn                 ,2297,0
 Cloud_ciptc     , 123.103.123.55  ,80, stream.ciptc.org.cn                      ,2492,0
 yataghanvpc     , 220.243.178.251 ,9900, 220.243.178.251                          ,2524,0
 Cloud_ciptc     , 123.103.123.55  ,80, resource.ciptc.org.cn                    ,2769,0
 Cloud_ciptc     , 123.103.123.32  ,80, yantai.ciptc.org.cn                      ,3015,0
 xisaedu         , 220.243.178.24  ,80, www.ybmsisa.cn                           ,3333,0
 Cloud_ciptc     , 123.103.123.27  ,80, www.ciptc.org.cn                         ,3574,0
 hanzhongnews    , 220.243.178.84  ,80, live.hanzhongnews.cn                     ,4060,0
 hanzhongnews    , 220.243.178.85  ,80, epaper.hanzhongnews.cn                   ,4623,0
 beian           , 123.103.51.51   ,8788, 123.103.51.51                            ,5691,0
 Cloud_ciptc     , 123.103.123.32  ,80, dongying.ciptc.org.cn                    ,8290,0
 Cloud_ciptc     , 123.103.123.74  ,80, m.ciptc.org.cn                           ,8743,0
 Cloud_ciptc     , 123.103.123.32  ,80, static.ciptc.org.cn                      ,10641,0
 hlcb            , 220.243.178.51  ,80, www.tcsasac.com                          ,12938,2
 wxhf            , 220.243.137.204 ,8888, wap8.cc                                  ,13180,0
 unitedview      , 220.243.133.77  ,8100, ipub.unitedview.cn                       ,13851,0
 juhaokan        , 123.103.51.77   ,80, e9b43.admaster.com.cn                    ,15505,0
 Cloud_Aspire    , 220.243.137.164 ,80, huabei.i139.cn                           ,15750,0
 juhaokan        , 123.103.51.76   ,80, e9b43.admaster.com.cn                    ,16077,0
 juhaokan        , 220.243.178.89  ,80, e9b43.admaster.com.cn                    ,16648,0
 juhaokan        , 220.243.178.91  ,80, e9b43.admaster.com.cn                    ,16763,0
 beian           , 123.103.51.52   ,8080, 123.103.51.52                            ,16869,0
 Cloud_ciptc     , 123.103.123.32  ,80, elearning.ciptc.org.cn                   ,17451,0
 unitedview      , 203.212.9.158   ,8900, 203.212.9.158                            ,21045,0
 Cloud_ciptc     , 123.103.123.31  ,80, home.ciptc.org.cn                        ,28668,0
 zgjj            , 220.243.178.72  ,80, www.caiqtest.com                         ,30358,0
 Cloud_ciptc     , 123.103.123.31  ,80, sso.ciptc.org.cn                         ,58209,0
 juhaokan        , 220.243.137.221 ,80, 220.243.137.221                          ,62942,0
 Cloud_Aspire    , 220.243.178.198 ,80, d.i139.cn                                ,81181,0
 juhaokan        , 220.243.133.87  ,80, log-ykvod.hismarttv.com                  ,117776,0
 juhaokan        , 220.243.178.33  ,80, fans.hisense.com                         ,152889,0
 juhaokan        , 220.243.178.69  ,80, haixin-dtv.m.cn.miaozhen.com             ,248893,0
 juhaokan        , 220.243.178.70  ,80, haixin-dtv.m.cn.miaozhen.com             ,251957,0
 bjczxd          , 220.243.137.50  ,80, java.bjczxda.com                         ,375864,0
 juhaokan        , 123.103.51.30   ,80, api-cloudfalcon.hismarttv.com            ,1063400,0
 juhaokan        , 220.243.178.125 ,80, api-cloudfalcon.hismarttv.com            ,1104504,0
 juhaokan        , 220.243.133.90  ,80, log.txvod.hismarttv.com                  ,2756148,0
 juhaokan        , 220.243.137.31  ,80, log.wasuvod.hismarttv.com                ,6092855,0
 juhaokan        , 220.243.133.94  ,80, unified-new-exc.hismarttv.com            ,18879364,0
 juhaokan        , 220.243.137.15  ,80, unified-exc.hismarttv.com                ,31459481,0
